"","symbol","timestamp","open","high","low","close","volume"
"127","NFLX",2020-07-10 13:15:00,540.07,540.8199,539.21,539.345,150214
"128","NFLX",2020-07-10 13:20:00,539.345,543.9,539.2692,543.9,297146
"129","NFLX",2020-07-10 13:25:00,543.87,547.7499,543.735,545.065,502602
"130","NFLX",2020-07-10 13:30:00,544.84,549.52,544.655,548.27,385855
"131","NFLX",2020-07-10 13:35:00,548.225,548.5388,545.9202,546.21,351343
"132","NFLX",2020-07-10 13:40:00,546.29,550.78,546.11,550.1758,405358
"133","NFLX",2020-07-10 13:45:00,550.16,552.4505,549.01,549.9228,488761
"134","NFLX",2020-07-10 13:50:00,549.76,553.5899,549.55,553.34,298507
"135","NFLX",2020-07-10 13:55:00,553.31,554.81,552.76,554.26,399968
"136","NFLX",2020-07-10 14:00:00,554.326,554.65,550.9,553.38,328922
"137","NFLX",2020-07-10 14:05:00,553.595,555.8799,552.75,554.037,371246
"138","NFLX",2020-07-10 14:10:00,554.075,554.2379,550.92,551.38,279721
"139","NFLX",2020-07-10 14:15:00,551.38,552.4,549.2,549.5284,407686
"140","NFLX",2020-07-10 14:20:00,549.4271,552.1099,549.4271,551.73,240734
"141","NFLX",2020-07-10 14:25:00,551.675,552.1141,547.57,549.41,328031
"142","NFLX",2020-07-10 14:30:00,549.23,551.47,549.09,549.175,210045
"143","NFLX",2020-07-10 14:35:00,549.14,550.2399,547.97,548.8834,195930
"144","NFLX",2020-07-10 14:40:00,548.821,548.8522,545.03,545.695,344662
"145","NFLX",2020-07-10 14:45:00,545.79,546.4,543.88,545.0301,345924
"146","NFLX",2020-07-10 14:50:00,545.16,548.2299,545.16,546.77,349900
"147","NFLX",2020-07-10 14:55:00,546.92,547,542.44,543.3168,337952
"148","NFLX",2020-07-10 15:00:00,543.385,545.487,542.0301,544.65,325796
"149","NFLX",2020-07-10 15:05:00,544.775,545.4,544.09,544.57,204285
"150","NFLX",2020-07-10 15:10:00,544.64,544.8,542.25,542.25,165334
"151","NFLX",2020-07-10 15:15:00,542.31,543.4021,541.29,542.12,250862
"152","NFLX",2020-07-10 15:20:00,542.145,545.8999,542.145,545.36,324102
"153","NFLX",2020-07-10 15:25:00,545.45,546.7262,544.5126,546.44,218853
"154","NFLX",2020-07-10 15:30:00,546.445,546.98,545.56,545.89,191997
"155","NFLX",2020-07-10 15:35:00,545.8442,548.4,544.38,548.4,302506
"156","NFLX",2020-07-10 15:40:00,548.4,549.73,547.43,547.6988,325529
"157","NFLX",2020-07-10 15:45:00,547.68,549,547.565,547.975,189980
"158","NFLX",2020-07-10 15:50:00,548.004,549.48,547.5501,549.12,221537
"159","NFLX",2020-07-10 15:55:00,549.5,549.86,548.58,548.865,287244
"160","NFLX",2020-07-10 16:00:00,548.925,549.5,548.4034,548.7,398909
"161","NFLX",2020-07-10 16:05:00,548.73,549.21,548.5,548.5,105541
"162","NFLX",2020-07-10 16:10:00,548.5,548.73,548.26,548.26,14221
"163","NFLX",2020-07-10 16:15:00,548.3,548.6,548.25,548.6,8348
"164","NFLX",2020-07-10 16:20:00,548.6,548.6,547.6,547.6,2803
"165","NFLX",2020-07-10 16:25:00,548,548,547.6,547.7,2238
"166","NFLX",2020-07-10 16:30:00,547.94,548.73,547.23,547.23,7780
"167","NFLX",2020-07-10 16:35:00,547.21,547.73,547,547.51,5725
"168","NFLX",2020-07-10 16:40:00,547.9,547.99,547.9,547.99,1419
"169","NFLX",2020-07-10 16:45:00,548.2,548.6998,548.2,548.45,5327
"170","NFLX",2020-07-10 16:50:00,548.5,548.69,548,548,2758
"171","NFLX",2020-07-10 16:55:00,548,548,547.6,547.87,1932
"172","NFLX",2020-07-10 17:00:00,547.61,547.61,547.61,547.61,141
"173","NFLX",2020-07-10 17:05:00,548,548,548,548,537
"174","NFLX",2020-07-10 17:10:00,548,548.5,548,548.5,676
"175","NFLX",2020-07-10 17:15:00,548.35,548.35,548,548,766
"176","NFLX",2020-07-10 17:20:00,548.49,548.49,548.49,548.49,247
"177","NFLX",2020-07-10 17:25:00,548.4,548.4,548.4,548.4,222
"178","NFLX",2020-07-10 17:30:00,548.7,548.7,548.7,548.7,290
"179","NFLX",2020-07-10 17:35:00,548.3,548.3,548.3,548.3,114
"180","NFLX",2020-07-10 17:40:00,548.5,548.7,548.5,548.7,1525
"181","NFLX",2020-07-10 17:45:00,548.7,548.7,548.7,548.7,2006
"182","NFLX",2020-07-10 17:55:00,548.5,548.69,548.41,548.66,1348
"183","NFLX",2020-07-10 18:00:00,548.7,548.7,548.7,548.7,1054
"184","NFLX",2020-07-10 18:05:00,548.7,548.98,548.41,548.98,7258
"185","NFLX",2020-07-10 18:10:00,548.75,549.75,548.75,549.74,3663
"186","NFLX",2020-07-10 18:15:00,549.72,549.72,549.72,549.72,924
"187","NFLX",2020-07-10 18:20:00,549.72,549.72,549,549.2,2131
"188","NFLX",2020-07-10 18:25:00,549.67,549.7,549.4,549.4,1286
"189","NFLX",2020-07-10 18:30:00,549.24,549.6,549.24,549.6,242
"190","NFLX",2020-07-10 18:35:00,549.22,549.52,549.22,549.52,701
"191","NFLX",2020-07-10 18:45:00,549.59,549.59,549.59,549.59,200
"192","NFLX",2020-07-10 18:55:00,549.7,549.7,549.7,549.7,182
"193","NFLX",2020-07-10 19:00:00,549.67,549.67,549.67,549.67,181
"194","NFLX",2020-07-10 19:10:00,549.69,549.69,549.69,549.69,600
"195","NFLX",2020-07-10 19:30:00,549.11,549.7,549.11,549.5001,1755
"196","NFLX",2020-07-10 19:40:00,549.72,549.72,549.5,549.5,859
"197","NFLX",2020-07-10 19:45:00,549.4,549.4,549.3,549.3,1349
"198","NFLX",2020-07-10 19:50:00,549.72,549.75,549.24,549.75,1407
"199","NFLX",2020-07-10 19:55:00,550.88,550.88,550.88,550.88,232
"200","NFLX",2020-07-10 20:00:00,550.41,550.48,550,550,1073
